source,date,year,title,letterboxd_uri,rating,rewatch,review,tags,watched_date,content,comment
ratings,2023-03-16,2023,Five Feet Apart,https://boxd.it/jaAK,3,,,,,,
reviews,2023-03-16,2023,Five Feet Apart,https://boxd.it/3ZhivN,3,,The tradition continues.... A beutiful girl in a shitty movie....,,2023-03-15,,
diary,2023-03-18,2023,Signs,https://boxd.it/3ZWBHl,3.5,,,,2023-03-18,,
ratings,2023-03-18,2023,Signs,https://boxd.it/26t2,3.5,,,,,,
reviews,2023-03-18,2023,Signs,https://boxd.it/3ZWBHl,3.5,,"Those ""signs"" with music really haunts.....",,2023-03-18,,
diary,2023-03-19,2023,21 Grams,https://boxd.it/402Q7p,4,,,,2023-03-18,,
diary,2023-03-19,2023,Blue Jean,https://boxd.it/40fJw9,3.5,,,,2023-03-19,,
ratings,2023-03-19,2023,21 Grams,https://boxd.it/2ajK,4,,,,,,
ratings,2023-03-19,2023,Blue Jean,https://boxd.it/AHhg,3.5,,,,,,
reviews,2023-03-19,2023,21 Grams,https://boxd.it/402Q7p,4,,Inarritu and hyper loop movies are just damn...,,2023-03-18,,
reviews,2023-03-19,2023,Blue Jean,https://boxd.it/40fJw9,3.5,,This movie really put myself into the shoes of JEAN and other humans for around 97 mins.,,2023-03-19,,
diary,2023-03-20,2023,Booksmart,https://boxd.it/40lQTB,3,,,,2023-03-19,,
ratings,2023-03-20,2023,Booksmart,https://boxd.it/igNS,3,,,,,,
reviews,2023-03-20,2023,Booksmart,https://boxd.it/40lQTB,3,,Hmm ... There's is a little thing in this lesbian movie that all I wanted....,,2023-03-19,,
diary,2023-03-27,2023,John Wick,https://boxd.it/42dFtT,3.5,,,,2023-03-26,,
diary,2023-03-27,2023,Speak,https://boxd.it/42faAj,3.5,,,,2023-03-26,,
ratings,2023-03-27,2023,John Wick,https://boxd.it/7dEc,3.5,,,,,,
ratings,2023-03-27,2023,Speak,https://boxd.it/1MTO,3.5,,,,,,
reviews,2023-03-27,2023,John Wick,https://boxd.it/42dFtT,3.5,,<blockquote>Uh....oh</blockquote>That accent is nice though...,,2023-03-26,,
reviews,2023-03-27,2023,Speak,https://boxd.it/42faAj,3.5,,And hell yeah.... She SPOKE a way better...,,2023-03-26,,
diary,2023-03-29,2023,John Wick: Chapter 2,https://boxd.it/42M5vf,3,,,,2023-03-28,,
ratings,2023-03-29,2023,John Wick: Chapter 2,https://boxd.it/ayGu,3,,,,,,
reviews,2023-03-29,2023,John Wick: Chapter 2,https://boxd.it/42M5vf,3,,God....he is literally having orgasm while using those pistols....,,2023-03-28,,
diary,2023-03-30,2023,John Wick: Chapter 3 – Parabellum,https://boxd.it/4310iv,3,,,,2023-03-29,,
ratings,2023-03-30,2023,John Wick: Chapter 3 – Parabellum,https://boxd.it/gmFw,3,,,,,,
reviews,2023-03-30,2023,John Wick: Chapter 3 – Parabellum,https://boxd.it/4310iv,3,,Oooops... Sophia's dogs are well trained.... and the stunt choreographer... Great work,,2023-03-29,,
